TEAMNAME,SHORTNAME,STADIUM,CHANTS SLOT,FLAG SLOT,PL.NAME 1,NR 1,PL.NAME 2,NR 2,PL.NAME 3,NR 3,PL.NAME 4,NR 4,PL.NAME 5,NR 5,PL.NAME 6,NR 6,PL.NAME 7,NR 7,PL.NAME 8,NR 8,PL.NAME 9,NR 9,PL.NAME 10,NR 10,PL.NAME 11,NR 11,PL.NAME 12,NR 12,PL.NAME 13,NR 13,PL.NAME 14,NR 14,PL.NAME 15,NR 15,PL.NAME 16,NR 16,PL.NAME 17,NR 17,PL.NAME 18,NR 18,PL.NAME 19,NR 19,PL.NAME 20,NR 20,PL.NAME 21,NR 21,PL.NAME 22,NR 22,PL.NAME 23,NR 23,PL.NAME 24,NR 24,PL.NAME 25,NR 25,PL.NAME 26,NR 26,PL.NAME 27,NR 27,PL.NAME 28,NR 28,PL.NAME 29,NR 29,PL.NAME 30,NR 30,PL.NAME 31,NR 31,PL.NAME 32,NR 32,LONG FK,SHORT FK,FK2,CORNER L,CORNER R,PENALTY,CAPTAIN,CB OVERLAP,GO UP 1,GO UP 2,GO UP 3,F0 PL1 X/Y,F0 PL2 X/Y,F0 PL3 X/Y,F0 PL4 X/Y,F0 PL5 X/Y,F0 PL6 X/Y,F0 PL7 X/Y,F0 PL8 X/Y,F0 PL9 X/Y,F0 PL10 X/Y,F0 PL11 X/Y,F0 ROLE PL1,F0 ROLE PL2,F0 ROLE PL3,F0 ROLE PL4,F0 ROLE PL5,F0 ROLE PL6,F0 ROLE PL7,F0 ROLE PL8,F0 ROLE PL9,F0 ROLE PL10,F0 ROLE PL11,F0 ATTACK PL1,F0 ATTACK PL2,F0 ATTACK PL3,F0 ATTACK PL4,F0 ATTACK PL5,F0 ATTACK PL6,F0 ATTACK PL7,F0 ATTACK PL8,F0 ATTACK PL9,F0 ATTACK PL10,F0 ATTACK PL11,F0 DEFENCE PL1,F0 DEFENCE PL2,F0 DEFENCE PL3,F0 DEFENCE PL4,F0 DEFENCE PL5,F0 DEFENCE PL6,F0 DEFENCE PL7,F0 DEFENCE PL8,F0 DEFENCE PL9,F0 DEFENCE PL10,F0 DEFENCE PL11,FA PL1 X/Y,FA PL2 X/Y,FA PL3 X/Y,FA PL4 X/Y,FA PL5 X/Y,FA PL6 X/Y,FA PL7 X/Y,FA PL8 X/Y,FA PL9 X/Y,FA PL10 X/Y,FA PL11 X/Y,FA ROLE PL1,FA ROLE PL2,FA ROLE PL3,FA ROLE PL4,FA ROLE PL5,FA ROLE PL6,FA ROLE PL7,FA ROLE PL8,FA ROLE PL9,FA ROLE PL10,FA ROLE PL11,FA ATTACK PL1,FA ATTACK PL2,FA ATTACK PL3,FA ATTACK PL4,FA ATTACK PL5,FA ATTACK PL6,FA ATTACK PL7,FA ATTACK PL8,FA ATTACK PL9,FA ATTACK PL10,FA ATTACK PL11,FA DEFENCE PL1,FA DEFENCE PL2,FA DEFENCE PL3,FA DEFENCE PL4,FA DEFENCE PL5,FA DEFENCE PL6,FA DEFENCE PL7,FA DEFENCE PL8,FA DEFENCE PL9,FA DEFENCE PL10,FA DEFENCE PL11,FB PL1 X/Y,FB PL2 X/Y,FB PL3 X/Y,FB PL4 X/Y,FB PL5 X/Y,FB PL6 X/Y,FB PL7 X/Y,FB PL8 X/Y,FB PL9 X/Y,FB PL10 X/Y,FB PL11 X/Y,FB ROLE PL1,FB ROLE PL2,FB ROLE PL3,FB ROLE PL4,FB ROLE PL5,FB ROLE PL6,FB ROLE PL7,FB ROLE PL8,FB ROLE PL9,FB ROLE PL10,FB ROLE PL11,FB ATTACK PL1,FB ATTACK PL2,FB ATTACK PL3,FB ATTACK PL4,FB ATTACK PL5,FB ATTACK PL6,FB ATTACK PL7,FB ATTACK PL8,FB ATTACK PL9,FB ATTACK PL10,FB ATTACK PL11,FB DEFENCE PL1,FB DEFENCE PL2,FB DEFENCE PL3,FB DEFENCE PL4,FB DEFENCE PL5,FB DEFENCE PL6,FB DEFENCE PL7,FB DEFENCE PL8,FB DEFENCE PL9,FB DEFENCE PL10,FB DEFENCE PL11,ORD 1,ORD 2,ORD 3,ORD 4,ORD 5,ORD 6,ORD 7,ORD 8,ORD 9,ORD 10,ORD 11,ORD 12,ORD 13,ORD 14,ORD 15,ORD 16,ORD 17,ORD 18,ORD 19,ORD 20,ORD 21,ORD 22,ORD 23,ORD 24,ORD 25,ORD 26,ORD 27,ORD 28,ORD 29,ORD 30,ORD 31,ORD 32,F0 AD CARD1,F0 AD CARD2,F0 AD CARD3,F0 AD CARD4,F0 AD CARD5,F0 AD CARD6,F0 AD CARD7,F0 AD CARD8,F0 AD CARD9,F0 AD CARD10,F0 AD CARD11,F0 TS PLAYER SUPP,F0 TS SUPP RANGE,F0 TS POS SWITCH,F0 TS ATT STYLE,F0 TS PRESSING,F0 TS DEF LINE,F0 TS COMPACTNESS,F0 TS DEF STRATEGY,FA AD CARD1,FA AD CARD2,FA AD CARD3,FA AD CARD4,FA AD CARD5,FA AD CARD6,FA AD CARD7,FA AD CARD8,FA AD CARD9,FA AD CARD10,FA AD CARD11,FA TS PLAYER SUPP,FA TS SUPP RANGE,FA TS POS SWITCH,FA TS ATT STYLE,FA TS PRESSING,FA TS DEF LINE,FA TS COMPACTNESS,FA TS DEF STRATEGY,FB AD CARD1,FB AD CARD2,FB AD CARD3,FB AD CARD4,FB AD CARD5,FB AD CARD6,FB AD CARD7,FB AD CARD8,FB AD CARD9,FB AD CARD10,FB AD CARD11,FB TS PLAYER SUPP,FB TS SUPP RANGE,FB TS POS SWITCH,FB TS ATT STYLE,FB TS PRESSING,FB TS DEF LINE,FB TS COMPACTNESS,FB TS DEF STRATEGY,TEAMNAME 1,TEAMNAME 2,TEAMNAME 3,TEAMNAME 4,TEAMNAME 5,TEAMNAME 6,TEAMNAME 7,TEAMNAME 8,TEAMNAME 9,TEAMNAME 10,TEAMNAME 11,TEAMNAME 12,TEAMNAME 13,TEAMNAME 14,TEAMNAME 15,TEAMNAME 16,TEAMNAME 17,TEAMNAME 18,TEAMNAME 19,TEAMNAME 20,TACTICAL ASSISTANCE 1,TACTICAL ASSISTANCE 2,TACTICAL ASSISTANCE 3,P.TACTICS 1,P.TACTICS 2,P.TACTICS 3
德国,DEU,59,16,10,NEUER,1,HUMMELS,5,BADSTUBER,14,BOATENG,20,LAHM,16,KHEDIRA,6,SCHWEINSTEIGER,7,MULLER,13,PODOLSKI,10,OZIL,8,GOMEZ,23,WASYL,12,ZIELER,22,HOWEDES,4,MERTESACKER,17,SCHMELZER,3,GUNDOGAN,2,L. BENDER,15,REUS,21,KROOS,18,M. GOTZE,19,SCHURRLE,9,KLOSE,11,,255,,255,,255,,255,,255,,255,,255,,255,,255,6,9,8,9,9,8,4,255,255,255,255,-,13x63,13x41,14x88,14x14,24x63,23x41,32x85,32x22,33x52,41x52,0,7,1,9,8,21,17,23,22,26,38,0,0,0,17,17,17,17,24,96,40,40,1,1,1,0,0,0,1,1,1,1,1,-,13x63,13x41,14x88,14x14,24x63,23x41,32x85,32x22,33x52,41x52,0,7,1,9,8,21,17,23,22,26,38,0,0,0,17,17,17,17,24,96,40,40,1,1,1,0,0,0,1,1,1,1,1,-,13x63,13x41,14x88,14x14,24x63,23x41,32x85,32x22,33x52,41x52,0,7,1,9,8,21,17,23,22,26,38,0,0,0,17,17,17,17,24,96,40,40,1,1,1,0,0,0,1,1,1,1,1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,2,2,2,2,2,2,2,2,2,2,2,13,13,13,12,12,13,13,0,2,2,2,2,2,2,2,2,2,2,2,13,13,13,12,12,13,13,0,2,2,2,2,2,2,2,2,2,2,2,13,13,13,12,12,13,13,0,Germany,ALLEMAGNE,DEUTSCHLAND,GERMANIA,ALEMANIA,德國,GERMANY,德国,GERMANY,GERMANY,ALEMANHA,ALEMANIA,ГЕРМАНИЯ,ΓΕΡΜΑΝΙΑ,TYSKLAND,DUITSLAND,ALEMANHA,ALMANYA,GERMANY,GERMANY,1,3,2,3,2,1
希腊,GRC,4,16,11,CHALKIAS,1,SOKRATIS,19,A. PAPADOPOULOS,8,TOROSIDIS,15,CHOLEVAS,20,KATSOURANIS,21,MANIATIS,2,KARAGOUNIS,10,NINIS,18,SAMARAS,7,GEKAS,17,TZORVAS,12,SIFAKIS,13,PAPADOPOULOS,5,MALEZAS,4,TZAVELAS,3,MAKOS,6,FOTAKIS,16,FORTOUNIS,22,FETFATZIDIS,23,LIBEROPOULOS,9,MITROGLOU,11,SALPINGIDIS,14,,255,,255,,255,,255,,255,,255,,255,,255,,255,7,7,4,7,7,7,7,255,255,255,255,-,8x63,8x37,10x85,10x19,16x52,24x64,23x40,31x79,32x27,36x52,0,7,1,9,8,12,21,17,23,22,38,0,1,1,0,17,40,17,17,40,40,16,1,0,0,0,0,0,0,0,0,1,1,-,8x63,8x37,10x85,10x19,16x52,24x64,23x40,31x79,32x27,36x52,0,7,1,9,8,12,21,17,23,22,38,0,1,1,0,17,40,17,17,40,40,16,1,0,0,0,0,0,0,0,0,1,1,-,8x63,8x37,10x85,10x19,16x52,24x64,23x40,31x79,32x27,36x52,0,7,1,9,8,12,21,17,23,22,38,0,1,1,0,17,40,17,17,40,40,16,1,0,0,0,0,0,0,0,0,1,1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,2,2,2,2,2,2,2,2,2,2,2,10,7,8,7,8,7,9,0,2,2,2,2,2,2,2,2,2,2,2,10,7,8,7,8,7,9,0,2,2,2,2,2,2,2,2,2,2,2,10,7,8,7,8,7,9,0,Greece,GRèCE,GRIECHENLAND,GRECIA,GRECIA,希臘,GREECE,希腊,GREECE,GREECE,GRéCIA,GRECIA,ГРЕЦИЯ,ΕΛΛΑΣ,GREKLAND,GRIEKENLAND,GRéCIA,YUNAN?STAN,GREECE,GREECE,1,3,2,1,5,3
匈牙利,HUN,16,16,12,BOGDAN,1,KORCSMAR,5,JUHASZ,4,VANCZAK,3,LACZKO,6,PINTER,13,VARGA,2,KOMAN,11,DZSUDZSAK,7,SZABICS,8,SZALAI,9,KIRALY,12,LIPTAK,22,KADAR,23,LAZAR,20,VADOCZ,16,ELEK,14,CZVITKOVICS,17,HAJNAL,15,GERA,10,RUDOLF,21,PRISKIN,18,NEMETH,19,,255,,255,,255,,255,,255,,255,,255,,255,,255,8,8,7,8,8,8,8,255,255,255,255,-,10x63,10x41,12x86,12x18,21x62,23x42,31x84,31x19,42x61,40x40,0,7,1,9,8,12,19,23,22,40,36,0,0,0,17,17,0,17,40,40,16,4,1,0,0,1,1,0,0,1,1,1,1,-,10x63,10x41,12x86,12x18,21x62,23x42,31x84,31x19,42x61,40x40,0,7,1,9,8,12,19,23,22,40,36,0,0,0,17,17,0,17,40,40,16,4,1,0,0,1,1,0,0,1,1,1,1,-,10x63,10x41,12x86,12x18,21x62,23x42,31x84,31x19,42x61,40x40,0,7,1,9,8,12,19,23,22,40,36,0,0,0,17,17,0,17,40,40,16,4,1,0,0,1,1,0,0,1,1,1,1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,2,2,2,2,2,2,2,2,2,2,2,10,8,10,9,10,9,9,0,2,2,2,2,2,2,2,2,2,2,2,10,8,10,9,10,9,9,0,2,2,2,2,2,2,2,2,2,2,2,10,8,10,9,10,9,9,0,Hungary,HONGRIE,UNGARN,UNGHERIA,HUNGRíA,匈牙利,HUNGARY,匈牙利,HUNGARY,HUNGARY,HUNGRIA,HUNGRíA,ВЕНГРИЯ,ΟΥΓΓΑΡΙΑ,UNGERN,HONGARIJE,HUNGRIA,MACAR?STAN,HUNGARY,HUNGARY,1,3,2,2,3,0
爱尔兰,IRL,10,16,13,GIVEN,1,ST. LEDGER,2,DUNNE,5,OSHEA,4,S. WARD,3,WHELAN,6,ANDREWS,8,MCGEADY,7,DUFF,11,DOYLE,9,R. KEANE,10,WESTWOOD,16,FORDE,23,MCSHANE,13,ODEA,18,STEPHEN KELLY,12,GIBSON,15,P. GREEN,21,MCCLEAN,22,HUNT,17,COX,20,WALTERS,14,LONG,19,,255,,255,,255,,255,,255,,255,,255,,255,,255,5,5,7,5,5,10,10,255,255,255,255,-,11x63,11x41,12x87,12x15,24x61,25x44,28x87,27x17,39x61,41x43,0,7,1,9,8,21,17,23,22,40,36,0,0,0,0,16,0,16,16,48,40,80,1,0,0,0,0,1,1,1,1,1,1,-,11x63,11x41,12x87,12x15,24x61,25x44,28x87,27x17,39x61,41x43,0,7,1,9,8,21,17,23,22,40,36,0,0,0,0,16,0,16,16,48,40,80,1,0,0,0,0,1,1,1,1,1,1,-,11x63,11x41,12x87,12x15,24x61,25x44,28x87,27x17,39x61,41x43,0,7,1,9,8,21,17,23,22,40,36,0,0,0,0,16,0,16,16,48,40,80,1,0,0,0,0,1,1,1,1,1,1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,2,2,2,2,2,2,2,2,2,2,2,13,12,9,11,13,7,11,0,2,2,2,2,2,2,2,2,2,2,2,13,12,9,11,13,7,11,0,2,2,2,2,2,2,2,2,2,2,2,13,12,9,11,13,7,11,0,Ireland,IRLANDE,IRLAND,IRLANDA,IRLANDA,愛爾蘭,IRELAND,爱尔兰,IRELAND,IRELAND,IRLANDA,IRLANDA,ИРЛАНДИЯ,ΙΡΛΑΝΔΙΑ,IRLAND,IERLAND,IRLANDA,?RLANDA,IRELAND,IRELAND,1,3,2,2,4,5
以色列,ISR,9,16,14,HARUSH,1,BEN HAIM,3,TIBI,21,SHPUNGIN,2,R. GERSHON,5,NATKHO,6,ZAHAVI,16,BENAYOUN,15,MELIKSON,7,SHECHTER,11,DAMARI,22,AOUATE,18,TZEDEK,4,GABAI,13,BEN DAYAN,19,SCHEIMANN,20,COHEN,8,BITON,12,KAYAL,23,Vermuth,14,RAFAELOV,9,HEMED,10,BEN SAHAR,17,,255,,255,,255,,255,,255,,255,,255,,255,,255,5,5,8,5,5,7,7,255,255,255,255,-,11x63,11x41,13x87,13x17,22x62,23x42,31x81,29x20,40x63,41x42,0,7,1,9,8,12,19,23,22,40,36,0,0,0,17,17,0,0,20,40,17,16,1,0,0,1,1,1,1,1,1,1,1,-,11x63,11x41,13x87,13x17,22x62,23x42,31x81,29x20,40x63,41x42,0,7,1,9,8,12,19,23,22,40,36,0,0,0,17,17,0,0,20,40,17,16,1,0,0,1,1,1,1,1,1,1,1,-,11x63,11x41,13x87,13x17,22x62,23x42,31x81,29x20,40x63,41x42,0,7,1,9,8,12,19,23,22,40,36,0,0,0,17,17,0,0,20,40,17,16,1,0,0,1,1,1,1,1,1,1,1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,2,2,2,2,2,2,2,2,2,2,2,11,12,12,11,10,8,10,0,2,2,2,2,2,2,2,2,2,2,2,11,12,12,11,10,8,10,0,2,2,2,2,2,2,2,2,2,2,2,11,12,12,11,10,8,10,0,Israel,ISRA?L,ISRAEL,ISRAELE,ISRAEL,以色列,ISRAEL,以色列,ISRAEL,ISRAEL,ISRAEL,ISRAEL,ИЗРАИЛЬ,ΙΣΡΑΗΛ,ISRAEL,ISRA?L,ISRAEL,?SRA?L,ISRAEL,ISRAEL,1,3,2,3,4,2
意大利,ITA,12,16,15,BUFFON,1,BONUCCI,19,DE ROSSI,16,CHIELLINI,3,PIRLO,21,MARCHISIO,8,MOTTA,5,MAGGIO,2,GIACCHERINI,13,CASSANO,10,BALOTELLI,9,SIRIGU,12,DE SANCTIS,14,OGBONNA,4,BARZAGLI,15,ABATE,7,BALZARETTI,6,MONTOLIVO,18,NOCERINO,23,GIOVINCO,20,DIAMANTI,22,DI NATALE,11,BORINI,17,,255,,255,,255,,255,,255,,255,,255,,255,,255,4,4,10,4,4,4,0,255,255,255,255,-,11x68,10x52,11x36,20x52,25x68,25x36,24x87,24x17,37x37,37x67,0,7,3,1,12,21,17,23,22,33,38,0,0,0,0,0,40,40,17,17,68,40,1,1,1,1,1,1,1,1,1,1,1,-,11x68,10x52,11x36,20x52,25x68,25x36,24x87,24x17,37x37,37x67,0,7,3,1,12,21,17,23,22,33,38,0,0,0,0,0,40,40,17,17,68,40,1,1,1,1,1,1,1,1,1,1,1,-,11x68,10x52,11x36,20x52,25x68,25x36,24x87,24x17,37x37,37x67,0,7,3,1,12,21,17,23,22,33,38,0,0,0,0,0,40,40,17,17,68,40,1,1,1,1,1,1,1,1,1,1,1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,2,2,2,2,2,2,2,2,2,2,2,13,12,10,10,13,11,13,0,2,2,2,2,2,2,2,2,2,2,2,13,12,10,10,13,11,13,0,2,2,2,2,2,2,2,2,2,2,2,13,12,10,10,13,11,13,0,Italy,ITALIE,ITALIEN,ITALIA,ITALIA,意大利,ITALY,意大利,ITALY,ITALY,ITáLIA,ITALIA,ИТАЛИЯ,ΙΤΑΛΙΑ,ITALIEN,ITALI?,ITáLIA,?TALYA,ITALY,ITALY,1,3,2,3,2,1
黑山,MTN,9,16,16,M.BOZOVIC,1,DZUDOVIC,20,SAVIC,21,PAVICEVIC,2,JOVANOVIC,4,DRINCIC,15,ZVEROTIC,17,S. JOVETIC,8,VUKCEVIC,7,VUCINIC,9,DAMJANOVI?,22,BLAZIC,12,MARKO BASA,3,BATAK,5,V.BOZOVIC,19,LUKA PEJOVIC,16,JOVANOVIC,13,KASCELAN,6,CETKOVIC,14,BOSKOVIC,11,DANOVIC,10,BECIRAJ,18,DELIBASIC,23,,255,,255,,255,,255,,255,,255,,255,,255,,255,8,8,7,8,8,9,9,255,255,255,255,-,9x60,9x44,10x84,10x20,22x60,22x44,32x52,36x84,36x20,41x52,0,7,1,9,8,21,17,26,35,31,38,0,0,0,17,17,0,0,40,40,40,16,1,0,0,1,1,1,1,1,1,1,1,-,9x60,9x44,10x84,10x20,22x60,22x44,32x52,36x84,36x20,41x52,0,7,1,9,8,21,17,26,35,31,38,0,0,0,17,17,0,0,40,40,40,16,1,0,0,1,1,1,1,1,1,1,1,-,9x60,9x44,10x84,10x20,22x60,22x44,32x52,36x84,36x20,41x52,0,7,1,9,8,21,17,26,35,31,38,0,0,0,17,17,0,0,40,40,40,16,1,0,0,1,1,1,1,1,1,1,1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,2,2,2,2,2,2,2,2,2,2,2,10,11,10,8,11,9,10,0,2,2,2,2,2,2,2,2,2,2,2,10,11,10,8,11,9,10,0,2,2,2,2,2,2,2,2,2,2,2,10,11,10,8,11,9,10,0,Montenegro,MONTéNéGRO,MONTENEGRO,MONTENEGRO,MONTENEGRO,黑山,MONTENEGRO,黑山,MONTENEGRO,MONTENEGRO,MONTENEGRO,MONTENEGRO,ЧЕРНОГОРИЯ,ΜΑΥΡΟΒΟΥΝΙΟ,MONTENEGRO,MONTENEGRO,MONTENEGRO,KARADA?,MONTENEGRO,MONTENEGRO,1,3,2,2,1,4
荷兰,NLD,8,16,17,STEKELENBURG,1,HEITINGA,3,VLAAR,13,V. D. WIEL,2,WILLEMS,15,VAN BOMMEL,6,DE JONG,8,ROBBEN,11,AFELLAY,20,SNEIJDER,10,V. PERSIE,16,VORM,12,KRUL,22,MATHIJSEN,4,BOUMA,5,BOULAHROUZ,21,SCHAARS,14,STROOTMAN,17,V. D. VAART,23,KUYT,7,L. DE JONG,18,NARSINGH,19,HUNTELAAR,9,,255,,255,,255,,255,,255,,255,,255,,255,,255,9,9,10,9,7,10,5,255,255,255,255,-,12x63,12x41,15x91,15x13,23x62,21x42,34x87,33x18,33x51,41x53,0,7,1,9,8,14,10,23,22,26,38,0,0,0,17,17,0,0,80,36,17,17,1,0,0,1,1,1,0,1,1,1,1,-,12x63,12x41,15x91,15x13,23x62,21x42,34x87,33x18,33x51,41x53,0,7,1,9,8,14,10,23,22,26,38,0,0,0,17,17,0,0,80,36,17,17,1,0,0,1,1,1,0,1,1,1,1,-,12x63,12x41,15x91,15x13,23x62,21x42,34x87,33x18,33x51,41x53,0,7,1,9,8,14,10,23,22,26,38,0,0,0,17,17,0,0,80,36,17,17,1,0,0,1,1,1,0,1,1,1,1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,2,2,2,2,2,2,2,2,2,2,2,9,9,8,5,9,9,8,0,2,2,2,2,2,2,2,2,2,2,2,9,9,8,5,9,9,8,0,2,2,2,2,2,2,2,2,2,2,2,9,9,8,5,9,9,8,0,Netherlands,PAYS-BAS,NIEDERLANDE,OLANDA,PAíSES BAJOS,荷蘭,NETHERLANDS,荷兰,NETHERLANDS,NETHERLANDS,HOLANDA,HOLANDA,НИДЕРЛАНДЫ,ΟΛΛΑΝΔΙΑ,HOLLAND,NEDERLAND,HOLANDA,HOLLANDA,NETHERLANDS,NETHERLANDS,1,3,2,3,4,1
北爱尔兰,NIL,19,16,18,CAMP,1,CATHCART,5,EVANS,4,MCAULEY,2,MCGIVERN,3,CLINGAN,6,BRUNT,11,C. EVANS,7,STEVEN DAVIS,8,LAFFERTY,10,HEALY,9,MANNUS,12,DUFF,24,HUGHES,18,BAIRD,20,S. FERGUSON,17,MCCANN,13,SHIELS,25,MCGINN,16,MCCOURT,22,J. WARD,19,J. MCQUOID,15,FEENEY,14,,255,,255,,255,,255,,255,,255,,255,,255,,255,5,10,6,6,6,10,7,255,255,255,255,-,11x65,11x39,15x87,15x18,22x62,24x42,30x88,29x17,41x62,41x44,0,7,1,9,8,21,17,23,22,40,36,0,0,0,0,0,17,17,17,17,0,16,1,0,0,1,1,0,0,1,1,1,1,-,11x65,11x39,15x87,15x18,22x62,24x42,30x88,29x17,41x62,41x44,0,7,1,9,8,21,17,23,22,40,36,0,0,0,0,0,17,17,17,17,0,16,1,0,0,1,1,0,0,1,1,1,1,-,11x65,11x39,15x87,15x18,22x62,24x42,30x88,29x17,41x62,41x44,0,7,1,9,8,21,17,23,22,40,36,0,0,0,0,0,17,17,17,17,0,16,1,0,0,1,1,0,0,1,1,1,1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,2,2,2,2,2,2,2,2,2,2,2,12,9,10,8,11,9,10,1,2,2,2,2,2,2,2,2,2,2,2,12,9,10,8,11,9,10,1,2,2,2,2,2,2,2,2,2,2,2,12,9,10,8,11,9,10,1,Northern Ireland,IRLANDE DU NORD,NORDIRLAND,IRLANDA DEL NORD,IRLANDA DEL NORTE,北愛爾蘭,NORTHERN IRELAND,北爱尔兰,NORTHERN IRELAND,NORTHERN IRELAND,IRLANDA DO NORTE,IRLANDA DEL NORTE,СЕВЕРНАЯ ИРЛАНДИЯ,ΒΟΡΕΙΑ ΙΡΛΑΝΔΙΑ,NORDIRLAND,NOORD-IERLAND,IRLANDA DO NORTE,KUZEY ?RLANDA,NORTHERN IRELAND,NORTHERN IRELAND,1,3,2,1,5,0
挪威,NOR,8,16,19,JARSTEIN,1,DEMIDOV,4,HANGELAND,5,HOGLI,2,RIISE,6,TETTEY,15,HENRIKSEN,7,M. G. PEDERSEN,11,ELYOUNOUSSI,10,HUSEKLEPP,18,ABDELLAOUE,9,PETTERSEN,12,WAEHLER,3,REGINIUSSEN,14,RUUD,13,PARR,20,NORDTVEIT,17,BRENNE,8,GRINDHEIM,16,JENSSEN,19,BERISHA,22,BRAATEN,21,CAREW,23,,255,,255,,255,,255,,255,,255,,255,,255,,255,4,7,4,8,7,10,2,255,255,255,255,-,12x63,12x40,15x88,15x16,21x52,27x67,27x36,33x89,33x15,41x52,0,7,1,9,8,12,21,17,23,22,38,0,0,0,17,17,1,40,16,17,16,16,1,0,0,1,1,0,1,0,1,1,2,-,12x63,12x40,15x88,15x16,21x52,27x67,27x36,33x89,33x15,41x52,0,7,1,9,8,12,21,17,23,22,38,0,0,0,17,17,1,40,16,17,16,16,1,0,0,1,1,0,1,0,1,1,2,-,12x63,12x40,15x88,15x16,21x52,27x67,27x36,33x89,33x15,41x52,0,7,1,9,8,12,21,17,23,22,38,0,0,0,17,17,1,40,16,17,16,16,1,0,0,1,1,0,1,0,1,1,2,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,2,2,2,2,2,2,2,2,2,2,2,12,6,12,10,12,8,9,1,2,2,2,2,2,2,2,2,2,2,2,12,6,12,10,12,8,9,1,2,2,2,2,2,2,2,2,2,2,2,12,6,12,10,12,8,9,1,Norway,NORVèGE,NORWEGEN,NORVEGIA,NORUEGA,挪威,NORWAY,挪威,NORWAY,NORWAY,NORUEGA,NORUEGA,НОРВЕГИЯ,ΝΟΡΒΗΓΙΑ,NORGE,NOORWEGEN,NORUEGA,NORVE?,NORWAY,NORWAY,1,3,2,1,0,0
波兰,POL,16,16,20,SZCZESNY,1,WASYL,13,PERQUIS,15,PISZCZEK,20,BOENISCH,2,MURAWSKI,11,POLANSKI,7,BRASZCZYKOWSKI,16,RYBUS,8,OBRANIAK,10,LEWANDOWSKI,9,SANDOMIERSKI,12,TYTON,22,KAMINSKI,4,WOJTKOWIAK,3,WAWRZYNIAK,14,DUDKA,5,MATUSZCZYK,6,ADRIAN,18,WOLSKI,19,GROSICKI,21,SOBIECH,17,P.BROZEK,23,,255,,255,,255,,255,,255,,255,,255,,255,,255,9,9,6,9,9,10,7,255,255,255,255,-,12x63,12x40,13x88,13x16,21x61,24x40,29x85,29x24,29x55,38x52,0,7,1,9,8,21,17,23,22,26,38,0,0,0,16,1,17,17,24,48,17,0,1,1,1,1,1,0,0,0,0,1,1,-,12x63,12x40,13x88,13x16,21x61,24x40,29x85,29x24,29x55,38x52,0,7,1,9,8,21,17,23,22,26,38,0,0,0,16,1,17,17,24,48,17,0,1,1,1,1,1,0,0,0,0,1,1,-,12x63,12x40,13x88,13x16,21x61,24x40,29x85,29x24,29x55,38x52,0,7,1,9,8,21,17,23,22,26,38,0,0,0,16,1,17,17,24,48,17,0,1,1,1,1,1,0,0,0,0,1,1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,2,2,2,2,2,2,2,2,2,2,2,13,15,14,8,12,12,12,0,2,2,2,2,2,2,2,2,2,2,2,13,15,14,8,12,12,12,0,2,2,2,2,2,2,2,2,2,2,2,13,15,14,8,12,12,12,0,Poland,POLOGNE,POLEN,POLONIA,POLONIA,波蘭,POLAND,波兰,POLAND,POLAND,POLóNIA,POLONIA,ПОЛЬША,ΠΟΛΩΝΙΑ,POLEN,POLEN,POL?NIA,POLONYA,POLAND,POLAND,1,3,2,3,2,1
